자치구,남자,여자,합계,65세 이상
종로구,71890,78563,150453,28764
중구,63495,68298,131793,25920
용산구,109826,117280,227106,39747
성동구,137620,147146,284766,49462
광진구,167562,183618,351180,56819
동대문구,174120,185753,359873,67030
중랑구,189462,198008,387470,78955
성북구,208682,229486,438168,80414
강북구,141185,151792,292977,68617
도봉구,149675,159819,309494,70436
노원구,241099,261826,502925,96422
은평구,223330,247539,470869,93817
서대문구,149879,170750,320629,58113
마포구,174073,201089,375162,57895
양천구,214161,225091,439252,76317
강서구,272338,296488,568826,102096
구로구,204715,210936,415651,79984
금천구,121592,119513,241105,45342
영등포구,195493,202307,397800,67509
동작구,187623,202091,389714,70474
관악구,249026,248857,497883,85418
서초구,196391,215687,412078,65661
강남구,262991,287291,550282,86606
송파구,316981,343044,660025,108894
강동구,226237,237081,463318,82984
